rank,candidate_id,filter_set,sensitivity,atr_period,max_bars_held,risk_profile,stop_loss_percent,take_profit_percent,symbols_tested,symbols_passed,median_test_return_percent,mean_test_return_percent,worst_test_return_percent,median_drawdown_percent,worst_drawdown_percent,median_profit_factor,median_trade_count,consistency_percent,score,status
635,MM-0531,EMA200+RSI,1.2,10,20,Balanced,3.0,8.0,9,2,-0.4296,0.5782,-1.8926,1.5874,2.847,0.8714,18.0,22.22,5.7701,REJECT
636,MM-0312,RelativeVolume,1.2,7,30,Trend,4.0,10.0,9,0,0.1924,1.1948,-1.0797,1.6863,4.19,1.1039,15.0,0.0,5.7664,REJECT
637,MM-0206,MACD,1.2,10,10,Trend,4.0,10.0,9,0,-0.028,1.2635,-1.623,0.9595,2.4549,0.9771,10.0,0.0,5.7441,REJECT
638,MM-0571,EMA200+MACD,1.0,14,10,Balanced,3.0,8.0,9,0,0.1442,0.0823,-1.0733,0.8506,2.6374,1.0695,5.0,0.0,5.7124,REJECT
639,MM-0688,EMA200+BXStyle,1.2,7,20,Trend,4.0,10.0,9,0,0.0985,1.0099,-1.6887,1.5127,2.1663,1.0623,13.0,0.0,5.69,REJECT
640,MM-0402,SmoothedHeikenAshi,1.0,7,30,Trend,4.0,10.0,9,1,0.4736,0.3144,-3.5053,1.572,4.3213,1.0863,14.0,11.11,5.6574,REJECT
641,MM-0236,ADX,1.0,7,10,Trend,4.0,10.0,9,0,0.0821,0.7179,-1.5346,1.0476,3.5853,1.1053,6.0,0.0,5.6506,REJECT
642,MM-0461,BXStyle,1.0,10,30,Balanced,3.0,8.0,9,0,0.2934,0.4761,-0.8647,1.7039,3.3401,1.1158,15.0,0.0,5.6464,REJECT
643,MM-0606,RSI+MACD,0.8,10,30,Trend,4.0,10.0,9,1,-0.151,0.8028,-0.7264,1.0574,2.3522,0.7429,12.0,11.11,5.6096,REJECT
644,MM-0142,RSI,1.0,14,20,Trend,4.0,10.0,9,3,-0.4447,0.6266,-3.1055,1.9509,5.424,0.9119,23.0,33.33,5.6001,REJECT
645,MM-0528,EMA200+RSI,1.2,7,30,Trend,4.0,10.0,9,2,-0.3034,0.8755,-2.2457,1.7754,3.7949,0.8604,18.0,22.22,5.4859,REJECT
646,MM-0525,EMA200+RSI,1.2,7,20,Balanced,3.0,8.0,9,2,-0.4317,0.5432,-2.0992,1.8189,2.847,0.9033,18.0,22.22,5.4643,REJECT
647,MM-0766,EMA200+RSI+MACD,0.8,10,20,Trend,4.0,10.0,9,1,-0.1443,0.396,-1.4432,1.0574,2.3522,0.8604,7.0,11.11,5.4219,REJECT
648,MM-0148,RSI,1.2,7,20,Trend,4.0,10.0,9,2,-0.5376,1.1212,-1.7205,1.7209,4.1761,0.8576,20.0,22.22,5.4145,REJECT
649,MM-0164,MACD,0.8,7,10,Trend,4.0,10.0,9,0,-0.0363,1.1333,-1.3434,1.1562,2.5602,0.9804,14.0,0.0,5.4123,REJECT
650,MM-0767,EMA200+RSI+MACD,0.8,10,30,Balanced,3.0,8.0,9,1,-0.151,0.4236,-1.1456,1.0574,2.0573,0.8099,7.0,11.11,5.4099,REJECT
651,MM-0538,EMA200+RSI,1.2,14,20,Trend,4.0,10.0,9,2,-0.6174,0.9513,-2.3013,1.4991,3.1442,0.8604,18.0,22.22,5.3556,REJECT
652,MM-0672,EMA200+BXStyle,1.0,7,30,Trend,4.0,10.0,9,0,0.0642,0.7936,-0.7143,1.572,2.9732,1.0407,14.0,0.0,5.3282,REJECT
653,MM-0159,RSI,1.2,14,20,Balanced,3.0,8.0,9,2,-0.4187,0.5191,-2.3106,1.6695,2.957,0.8778,20.0,22.22,5.2737,REJECT
654,MM-0696,EMA200+BXStyle,1.2,10,30,Trend,4.0,10.0,9,0,0.0539,1.0654,-1.5856,1.4218,3.0735,1.0452,12.0,0.0,5.2628,REJECT
655,MM-0258,ADX,1.2,7,30,Trend,4.0,10.0,9,0,-0.0771,0.7751,-0.7234,1.0642,2.1625,0.9424,6.0,0.0,5.2505,REJECT
656,MM-0620,RSI+MACD,1.0,10,10,Trend,4.0,10.0,9,0,0.0582,0.1154,-0.6014,0.9101,3.1102,1.0319,9.0,0.0,5.2316,REJECT
657,MM-0291,RelativeVolume,1.0,7,20,Balanced,3.0,8.0,9,1,0.0197,0.9939,-2.4834,1.624,4.8189,1.0204,19.0,11.11,5.2274,REJECT
658,MM-0643,RSI+MACD,1.2,14,10,Balanced,3.0,8.0,9,0,-0.0602,0.6042,-0.7025,0.9941,1.9605,0.9363,6.0,0.0,5.2178,REJECT
659,MM-0293,RelativeVolume,1.0,7,30,Balanced,3.0,8.0,9,1,0.0197,0.9804,-2.4834,1.624,4.8189,1.0204,19.0,11.11,5.2072,REJECT
