rank,candidate_id,filter_set,sensitivity,atr_period,max_bars_held,risk_profile,stop_loss_percent,take_profit_percent,train_return_percent,test_return_percent,test_drawdown_percent,test_profit_factor,test_win_rate,test_trade_count,robustness_ratio,score,status
1138,ARENA-0856,EMA200+MACD,1.0,14,10,Balanced,3.0,8.0,0.7773,0.2535,1.1903,1.1131,35.0,20,0.3262,9.3936,REJECT
1139,ARENA-1015,RSI+MACD,1.0,10,30,Balanced,3.0,8.0,3.1929,0.8327,0.8152,1.5746,33.3333,15,0.2608,9.3886,REJECT
1140,ARENA-0857,EMA200+MACD,1.0,14,10,Conservative,2.0,6.0,2.7289,0.4839,1.1249,1.2256,35.0,20,0.1773,9.3846,REJECT
1141,ARENA-0996,RSI+MACD,0.8,14,20,Trend,4.0,10.0,4.3634,0.3501,1.0784,1.1898,36.3636,22,0.0802,9.3646,REJECT
1142,ARENA-0999,RSI+MACD,0.8,14,30,Trend,4.0,10.0,4.3634,0.3501,1.0784,1.1898,36.3636,22,0.0802,9.3646,REJECT
1143,ARENA-0994,RSI+MACD,0.8,14,20,Balanced,3.0,8.0,4.4638,0.3501,1.0784,1.1898,36.3636,22,0.0784,9.3514,REJECT
1144,ARENA-0997,RSI+MACD,0.8,14,30,Balanced,3.0,8.0,4.4638,0.3501,1.0784,1.1898,36.3636,22,0.0784,9.3514,REJECT
1145,ARENA-0995,RSI+MACD,0.8,14,20,Conservative,2.0,6.0,4.3604,0.3524,1.0656,1.1829,36.3636,22,0.0808,9.3484,REJECT
1146,ARENA-0998,RSI+MACD,0.8,14,30,Conservative,2.0,6.0,4.3604,0.3524,1.0656,1.1829,36.3636,22,0.0808,9.3484,REJECT
1147,ARENA-0859,EMA200+MACD,1.0,14,20,Balanced,3.0,8.0,1.4897,0.3782,1.2048,1.1628,35.0,20,0.2538,9.326,REJECT
1148,ARENA-0862,EMA200+MACD,1.0,14,30,Balanced,3.0,8.0,1.4897,0.3782,1.2048,1.1628,35.0,20,0.2538,9.326,REJECT
1149,ARENA-1012,RSI+MACD,1.0,10,20,Balanced,3.0,8.0,3.5957,0.8327,0.8152,1.5746,33.3333,15,0.2316,9.2426,REJECT
1150,ARENA-1244,EMA200+RSI+MACD,1.0,7,10,Conservative,2.0,6.0,2.4247,0.5884,0.7756,1.4162,37.5,16,0.2427,9.2406,REJECT
